816048.6318,3384411.671,1.838522
816044.0749,3384413.092,2.929841
816047.8087,3384413.534,0.429657
816044.9388,3384413.117,2.126205
816048.214,3384416.099,0.063681
816041.4722,3384416.679,6.599399
816048.6777,3384416.667,0.178625
816055.1752,3384411.307,8.114093
816050.2655,3384414.938,2.260711
816050.2655,3384414.938,2.260711
816047.0459,3384416.62,1.339419
816045.5212,3384412.912,1.508807
816043.8232,3384418.412,4.979959
816043.8232,3384418.412,4.979959
816042.2985,3384414.705,5.149688
816051.8973,3384414.986,3.778413
816052.1347,3384413.438,4.52928
816042.4904,3384414.71,4.970986
816050.2947,3384413.94,2.628362
816052.0633,3384415.878,3.630404
816052.1528,3384416.103,3.637845
816044.905,3384417.556,3.671157
816046.3202,3384415.155,1.522261
816051.3751,3384416.413,2.801051
816043.0631,3384414.838,4.47622
816040.3755,3384414.759,6.97592
816044.9356,3384413.228,2.167052
816045.4317,3384412.687,1.516248
816050.7292,3384415.506,2.503017
816052.5595,3384415.338,4.280961
816047.0719,3384415.732,1.012272
816048.4106,3384412.663,1.292415
816042.4093,3384417.483,5.992496
816049.5138,3384414.361,1.750722
816040.6148,3384416.431,7.320907
816050.2655,3384414.938,2.260711
816039.0789,3384416.387,8.749817
816048.7848,3384413.007,1.526939
816047.153,3384412.96,0.008896
816045.4142,3384416.572,2.857027
816048.7848,3384413.007,1.526939
816050.2655,3384414.938,2.260711
816049.0631,3384413.349,1.671989
816045.4012,3384417.015,3.02026
816049.1901,3384415.572,1.033601
816046.5985,3384415.497,1.377211
816044.5127,3384414.547,3.014246
816052.8734,3384414.459,4.875696
816048.8646,3384413.565,1.411748
816042.3769,3384418.592,6.400993
816048.7946,3384412.675,1.649325
816053.2392,3384411.806,6.123947
816048.1356,3384412.211,1.187965
816047.4637,3384412.192,0.562784
816044.6073,3384417.88,4.061473
816047.5291,3384416.523,0.852094
816051.4985,3384412.199,4.353538
816047.5454,3384415.968,0.64758
816048.5604,3384414.111,0.939646
816050.2246,3384413.05,2.865846
816050.2311,3384412.828,2.947633
816040.6667,3384414.657,6.667391
816048.7297,3384414.893,0.832236
816043.8783,3384416.527,4.285596
